model,run_seconds,MSE,RMSE,MAE,MdAE,RMSLE,MAPE_%,sMAPE_%,R2,Corr,MBE,PBIAS_%,NRMSE_mean,NRMSE_range,Theils_U1,Theils_U2,Directional_Accuracy_%,MASE
neuralprophet,143.9533634185791,26.84418923904209,5.181137832469051,4.476837966615791,4.045074462890625,0.0725082531012316,6.604669708602239,6.340354073617688,-3.5549021450491542,-0.5687334439469883,3.7518510629009727,5.446875401379696,0.0752189032390391,0.3454091886009972,0.0365968195102096,3.638298320118648,22.0,4.452577804805845
tbats,24.31323432922364,13.171411898060253,3.629243984366476,3.1927213325720136,3.095623516732701,0.0517380624695613,4.7161208940907615,4.581756708337863,-1.2349154140421872,0.4227425627317094,2.7819080064702257,4.038728093227576,0.0526887646918351,0.2419495987964653,0.0258149836128284,2.5485275085470587,21.333333333333336,3.17541984953424
lgbm,1.4652926921844482,10.654018303081196,3.264049372034865,2.807142075204036,3.0335588437819467,0.0466406992986925,4.140487080091096,4.040135958101706,-0.8077659336240455,0.1749682775077275,2.220459652602867,3.2236266468869386,0.0473869296323152,0.2176032913239221,0.0233101808427632,2.2920805682174867,32.0,2.791930061395228
rf,18.77280044555664,14.24210368825665,3.773871180665372,3.355648616333943,3.273363082407343,0.0537172900555295,4.953119652459463,4.808661549119068,-1.4165896038798582,0.1195288225578542,2.8953032714024896,4.203353465833628,0.0547884384383944,0.2515914118766305,0.026822171178736,2.650087610276101,57.333333333333336,3.3374642239086074
lstm,49.73350024223328,7.134481219854715,2.6710449677709875,2.279253624874969,2.165888756238701,0.0384537317204253,3.36404875195261,3.2954837303421294,-0.2105734884652736,0.8368824052664261,1.811944917631089,2.630551702355844,0.0387777896428097,0.1780696643993527,0.0191309914052317,1.875661048486612,21.333333333333336,2.2669022594340675
nbeats,74.87800526618958,9.87451376802842,3.142373906464414,2.587262798710799,2.396551386375876,0.0449627715661768,3.816881864232652,3.730957143918657,-0.6755001815400337,0.119356035371586,1.7497748284076171,2.540294193724605,0.0456204653213382,0.2094915936246331,0.0225153357305105,2.206637629562125,25.333333333333336,2.5732423193881964
nhits,4.01496696472168,7.010544182887461,2.6477432245003407,1.991060470943144,1.4575355114307342,0.0376774261627084,2.846954981407116,2.886530707814033,-0.1895439438399457,0.1038069052077166,-1.0066699491519762,-1.4614668043630634,0.0384394987829543,0.1765162148490119,0.019354720233948,1.859298099625044,20.666666666666668,1.9802708355892016
patchtst,37.06162667274475,614.7623730785173,24.794402051239658,19.844555282107468,19.284085452303906,0.5249370486408063,29.36868885436204,38.62184765131416,-103.31242407419298,0.7812633201019084,-19.216534188432146,-27.89824692289649,0.3599610334769395,1.652960135647337,0.2039383664857676,17.41112362733316,21.333333333333336,19.73701685302417
transformer,7.023430109024048,57.1600587118636,7.560427151415692,6.9037127970017815,7.5557654827536,0.1040765787576997,10.179584962859908,9.602058224837512,-8.698876420493216,-0.868073150202758,6.335022990316616,9.19708173768762,0.1097610325639871,0.5040284764250271,0.0524440173494564,5.30908273313909,22.666666666666664,6.86630130460612
ensemble_meta,,,,,,,,,,,,,,,,,,
ensemble,131.90385127067566,11.946489482584763,3.4563694077145115,3.0363090404490354,3.003985958071439,0.04932370791623689,4.4746281580827025,4.36223736893885,-1.0270714859546355,-0.1342903712414857,2.39269064115396,3.473668751215273,0.05017900014317094,0.230424627027351,0.024653516604594444,2.4271315329599106,24.666666666666668,3.019855161801741
