model,run_seconds,MSE,RMSE,MAE,MdAE,RMSLE,MAPE_%,sMAPE_%,R2,Corr,MBE,PBIAS_%,NRMSE_mean,NRMSE_range,Theils_U1,Theils_U2,Directional_Accuracy_%,MASE
neuralprophet,140.4863154888153,57.332166544652445,7.571800746496994,6.117054662641311,4.862277984619141,0.1555008518217986,11.860963384491388,12.977231241041878,-3.651991492324716,-0.5447570188277533,-6.104071403654996,-12.346819669274362,0.1531562332542705,0.4454000436495878,0.0814855682276236,5.239362753153101,28.666666666666668,9.06162265273054
tbats,61.695525884628296,44.8787666685038,6.699161639227986,6.234249793965356,7.53611474570544,0.1280669082279305,12.964482316235364,12.068579688011257,-2.6415097023292047,0.4109895181061664,5.773248800096575,11.677658586687766,0.1355051984298897,0.3940683314874884,0.0639383242831371,4.6355337580907,29.33333333333333,9.235232030995787
lgbm,1.8960325717926023,23.25424640926205,4.82226569252069,4.100381282023801,4.041919813054065,0.098104630719822,8.27706547376786,8.442042373482142,-0.8868736867297018,0.5304237591925045,-0.5172841208062482,-1.0463202893645025,0.0975408722369578,0.2836626876284743,0.048805444781482,3.336801918208133,24.666666666666668,6.074182749574347
rf,21.58289408683777,10.690906509566782,3.269695170740964,2.811650279095361,2.500000490761117,0.0626354502274932,5.615086309215429,5.584124551209883,0.1325287508713127,0.4544665640398471,0.8678023359011415,1.7553200546656065,0.0661367372182954,0.1923350099304478,0.0327351407966422,2.262489421643892,37.333333333333336,4.1650950115272245
lstm,36.32186150550842,21.57462228895708,4.644849006044984,4.330080497402091,5.018828626461989,0.0903707381387676,8.935193790351887,8.54760506348415,-0.7505872425068654,0.6251026176766064,3.411009436262733,6.899512737434799,0.0939522316576816,0.2732264119595717,0.0453527078903688,3.214037147973166,29.33333333333333,6.414452328347014
nbeats,43.13812804222107,107.76445716628162,10.38096609985225,8.166171509849438,5.865671524590169,0.2489059106667057,16.14096252920072,18.60077666081244,-7.74411989161594,0.0503516991416438,-8.020818270913718,-16.22385949346768,0.2099777475165599,0.6106450643379882,0.1136038222230095,7.183185208680198,24.666666666666668,12.09712334134712
nhits,3.881352663040161,15.74409267605294,3.967882643936554,3.610282512925441,3.339804506368558,0.0769545855052627,7.332831625893761,7.162945963303624,-0.2774920188360055,0.2351281907821068,1.8612029731489173,3.764690148222553,0.0802591061342266,0.2334048612707356,0.0393295026876974,2.7456053361073587,26.0,5.348165024857886
patchtst,39.79536485671997,195.54202765156944,13.983634279098172,13.818248380361828,13.692926284631326,0.3296974414231365,28.06617287526102,32.818070130406355,-14.866483055695236,0.842543515759838,-13.818248380361828,-27.950430067939784,0.2828495922033865,0.8225667218160296,0.163736073663039,9.676077732171866,28.666666666666668,20.46994173671097
transformer,10.760369539260864,9.98270213181395,3.159541443281596,2.8544599856297106,2.9122363231385435,0.0612135416867046,5.783150624929398,5.683410095565579,0.1899931890513588,0.8289358063840245,1.524314723815318,3.083259970205817,0.063908637121446,0.1858553789072377,0.0314273849836686,2.1862677464976468,30.0,4.228512036203755
ensemble_meta,,,,,,,,,,,,,,,,,,
ensemble,93.14126229286194,10.894467367757247,3.3006768044989268,2.420510431182106,1.6518752463845487,0.06350994270820735,4.702029336830947,4.826095132248207,0.11601161158380946,0.3939670249512349,-0.5297209699472294,-1.071476537292028,0.06676340853272855,0.1941574589739619,0.03350739408953108,2.283927389094158,24.0,3.585672086327159
