model,run_seconds,MSE,RMSE,MAE,MdAE,RMSLE,MAPE_%,sMAPE_%,R2,Corr,MBE,PBIAS_%,NRMSE_mean,NRMSE_range,Theils_U1,Theils_U2,Directional_Accuracy_%,MASE
neuralprophet,165.37721037864685,17.284817679273186,4.157501374536536,3.783809703329335,3.4633045196533203,0.0653349429704812,5.82753675518691,6.038768465827067,-16.420562068173524,-0.2385368149007557,-3.783809703329335,-5.856132776039756,0.0643448851053582,0.5116924762362598,0.0331377967283076,5.3251139136216565,8.791208791208792,4.407637749106514
tbats,54.72576642036438,1.995869383348042,1.412752414030159,1.249275042050624,1.1770967471914917,0.0216726275151865,1.9310312671875995,1.9456287749087529,-1.011543721070005,0.3236991786818322,-0.9969638607768732,-1.5429826548849632,0.0218649096112978,0.1738772199743245,0.0110165001081956,1.8095165482159887,10.989010989010987,1.4552401590159187
lgbm,1.1646864414215088,41.92242892178562,6.474753193889758,5.9154135566129815,6.916873318850403,0.1049288413217687,9.15837937388858,9.68656633329943,-41.251662044217085,0.2132774501553314,-5.8107524572041696,-8.993194844906055,0.1002085658703675,0.7968926998056407,0.0524297739717344,8.293153799351947,12.087912087912088,6.89067425107622
rf,9.067139387130736,0.856495412993813,0.9254703739146992,0.6102800444993817,0.3948748070343839,0.0140979000824796,0.9445431840771468,0.9425143435969962,0.1367781957540417,0.5667323484884927,0.1819437293012511,0.2815909678593115,0.0143233349825633,0.113904045880081,0.007151160672044,1.185383893066586,65.93406593406593,0.7108955186871762
lstm,24.739712476730347,45.00040228649564,6.708233917097378,6.502738204299674,7.009892332132203,0.0973748714933284,10.090185781481752,9.577370712266696,-44.35380792964423,-0.2611117288017228,6.400797122245041,9.90639613492677,0.1038221041366741,0.8256287887804418,0.0494525515966204,8.592206363791313,8.791208791208792,7.574829769216248
nbeats,33.40866541862488,12.7993832609135,3.577622571053786,2.598120377992983,1.6977616877615134,0.0530116599239851,4.027470638157635,3.9440631268077815,-11.899901790601978,-0.1167622061321288,0.8414407779414723,1.3022824362609229,0.0553702073785734,0.4403227774339148,0.0274876783133795,4.582379177909272,9.89010989010989,3.026466538390827
nhits,5.147012233734131,15.206363849132815,3.8995337989473584,3.2855292041139763,3.028324043492699,0.0578114454417842,5.099267342266422,4.970659555672107,-14.325785332564022,-0.0009866022494896,1.9344657973108133,2.993937181828122,0.0603523683225962,0.479942620818207,0.0297115772435181,4.9946974922473375,6.593406593406594,3.827206884400817
patchtst,28.51082324981689,338.25742726946686,18.3917760770804,16.98965202421839,18.27549825361264,0.2757649460119688,26.25276289243761,25.46299303172969,-339.9138942688703,-0.091650883789831,5.280365942303075,8.172325378043372,0.2846461400617427,2.2636032067008447,0.1345699991332254,23.557010295683327,15.384615384615383,19.790697069210168
transformer,7.748772621154785,19.66567866864739,4.434600170099599,4.300366820556453,4.380793748764113,0.0656328014381349,6.680761598637916,6.450761184979277,-18.82012088393249,-0.003767874757166,4.300366820556453,6.655598738143677,0.0686334922655485,0.5457969433405082,0.0332093037580525,5.6800344581434645,10.989010989010987,5.009358456005847
ensemble_meta,,,,,,,,,,,,,,,,,,
ensemble,67.07439184188843,4.847270481461224,2.201651762078014,1.710294313852713,1.3896166067448092,0.03307957532118918,2.657408480156881,2.607985801274446,-3.8853379798606795,-0.08260221513320919,1.3147017922124677,2.03473981509147,0.03407455991249353,0.2709725242299432,0.016862840668072487,2.8199741563520773,10.989010989010989,1.9922666230245454
