model,run_seconds,MSE,RMSE,MAE,MdAE,RMSLE,MAPE_%,sMAPE_%,R2,Corr,MBE,PBIAS_%,NRMSE_mean,NRMSE_range,Theils_U1,Theils_U2,Directional_Accuracy_%,MASE
neuralprophet,117.91118502616882,52.66088127102984,7.256781743378386,6.234871781390647,6.28465461730957,0.1600573691404037,12.920860983183893,14.12591650342848,-4.30732133137827,-0.6642762605442832,-6.231850624084473,-13.389700946768238,0.1559185917962029,0.7256781736121604,0.0834434066095987,3.9532102196907535,14.285714285714285,11.275417665245648
tbats,44.40738415718079,10.13991315713978,3.1843230296469263,2.631180471084948,3.031095793466285,0.0663679277300942,5.550684655220059,5.66109333560164,-0.0219308165436387,0.3599603147239898,-1.1029106124764498,-2.3697043082200304,0.0684180922293557,0.3184323026462603,0.0345777267280215,1.7346943574654603,15.384615384615383,4.7583430428626095
lgbm,1.07086443901062,19.546115514749737,4.421098903524976,3.681050326368961,3.2607992842501368,0.093214270940228,7.613386777070122,8.021364597057126,-0.9699160612810294,0.3122927266126947,-3.2242361833176085,-6.927566284969254,0.094991352862217,0.4421098899103876,0.0491397791331965,2.4084413705326453,58.24175824175825,6.656974085735143
rf,7.771471261978149,55.00743861715611,7.416699981606112,6.794181491101644,6.809108200474245,0.16495964698569,14.26487069898851,15.549570150202992,-4.543814408550709,0.3354779729442911,-6.794181491101644,-14.59792023774378,0.1593545813834257,0.7416699974189411,0.0858250771099098,4.04032740690031,52.74725274725275,12.286898061689692
lstm,20.317513704299927,62.19832963537144,7.886591762946237,7.003362419162569,6.492948382677927,0.1579885986185059,15.591138013357345,14.17377531341202,-5.2685339417497445,-0.347071509892195,6.56175746579938,14.098535965018437,0.1694506360029564,0.7886591755059644,0.0790276665353744,4.296306029081895,7.6923076923076925,12.665190096263748
nbeats,23.694413423538208,118.15534294956076,10.869928378308698,10.165115092149737,10.413478501462697,0.2098683822366444,22.389046289459905,19.863667006297405,-10.9080493321994,-0.2084772872705683,9.68953798432957,20.818858433659056,0.2335503513272886,1.0869928367438768,0.1055635045379402,5.921510866941319,12.087912087912088,18.38304335646113
nhits,8.16602110862732,187.0122964734745,13.675243927384788,10.545120036139572,6.647035284849345,0.2505052617609408,23.33254053518543,19.9565764120093,-17.847659331704502,-0.3679286802478997,6.506739479749242,13.9803247907875,0.2938251212492381,1.3675243913709545,0.1357641150449335,7.449736806516297,10.989010989010987,19.07026109061444
patchtst,28.5007541179657,171.9281983797456,13.112139351751322,11.413692674045851,9.345237785235977,0.3331686513435529,24.026345013009333,28.57710305531968,-16.327438749648067,-0.193256030961408,-11.413692674045851,-24.523362452424845,0.2817263045049034,1.3112139338639182,0.1596331674223555,7.142979508051304,12.087912087912088,20.641026233568684
transformer,29.51771903038025,20.85310186794245,4.566519666873498,3.695923763286069,3.402245001812986,0.0954421453423048,7.735675976788368,7.914863337210379,-1.1016380603189746,0.3204458788314112,-1.3910921852367364,-2.988888770491452,0.0981158509442931,0.4566519662306978,0.0496403242506997,2.487660901745524,17.582417582417584,6.683871866353283
ensemble_meta,,,,,,,,,,,,,,,,,,
ensemble,108.42523241043091,14.521648546458367,3.8107280861350326,3.1719368896440994,3.0254939368342875,0.08049611244507307,6.992723319051949,6.785619427627887,-0.46353523217234094,-0.34351009598118243,1.3275198723144814,2.852297842712528,0.08187697769063697,0.3810728082324304,0.04031361671585371,2.0759352764491834,13.186813186813188,5.736270847667743
