model,run_seconds,MSE,RMSE,MAE,MdAE,RMSLE,MAPE_%,sMAPE_%,R2,Corr,MBE,PBIAS_%,NRMSE_mean,NRMSE_range,Theils_U1,Theils_U2,Directional_Accuracy_%,MASE
neuralprophet,157.0983874797821,82.69028668450868,9.09341996635527,6.699632531718204,4.629768371582031,0.1837844715883006,11.44213775374508,12.806841316531006,-1.727425575457704,0.2354877488712661,-6.118662671038979,-10.861742785364536,0.1614247982062056,0.3637367985087161,0.0849051680583366,3.083220302887062,19.205298013245034,4.073623986123039
tbats,33.420769453048706,65.8283012894284,8.113464197827485,6.384113086441396,6.041282794379171,0.1426084188621225,12.326177003790043,11.168168256770176,-1.1712561381088786,,5.959045952273908,10.578393982418408,0.144028795077472,0.3245385677832839,0.0682423167931535,2.750955925718174,60.264900662251655,3.88177651176041
lgbm,2.049722909927368,57.3776302010745,7.574802320923927,5.834957892231916,4.060662747217211,0.1336837719104147,11.22403278783141,10.26756138760306,-0.8925223547312071,-0.1791980767857104,4.655423394298343,8.264226054686384,0.1344665638045019,0.3029920927157602,0.0644073791945047,2.5683169140586286,21.85430463576159,3.5478698742478487
rf,12.652828216552734,44.87393393038586,6.698800932285259,5.292548610499418,3.891329937464208,0.1199489781768751,10.156498184534996,9.40088976413574,-0.4801051003740495,0.1807899207303197,3.8662156895343744,6.863238362727457,0.1189159406162461,0.2679520371842295,0.0573529650634139,2.2712993698562194,60.264900662251655,3.2180650006371763
lstm,45.97210502624512,90.21356793201468,9.498082329187016,8.488496785539121,8.403856647803725,0.1627847329412682,15.91737805616347,14.45997496232662,-1.975570678208367,0.0639667188278498,7.456505310395405,13.236657602087917,0.1686082935801625,0.3799232930155113,0.0788637210505517,3.220425360776538,20.52980132450331,5.161319512375147
nbeats,70.87537717819214,113.8616952858634,10.670599574806628,9.291747376556104,8.704978710577056,0.2002568323695185,16.17649067959987,17.64921775903467,-2.7555716909349464,-0.1383779844473065,-6.544291268219081,-11.617311214810378,0.189422614316226,0.4268239828215355,0.0999964197958818,3.617979745216629,16.55629139072848,5.64972553448799
nhits,6.75275731086731,97.43472361485802,9.870902877389586,8.117920689773305,7.048086834692413,0.1847869193274735,14.048254272529848,15.332769394059534,-2.2137505840163167,-0.1758242014875478,-5.670000345146112,-10.06528528421842,0.1752265386390508,0.394836114937649,0.0918125928556038,3.346834114337314,18.543046357615893,4.935995561360135
patchtst,73.43606448173523,54.46501424121576,7.380041615141188,5.896836331340563,4.985436160643612,0.1305553543487847,10.043083111882552,10.689599216456088,-0.7964537162136767,-0.0643637471090704,-4.375635742445235,-7.767551916506848,0.1310092058747242,0.2952016644875668,0.0679609498172109,2.502281235018652,19.205298013245034,3.585494250298843
transformer,8.427204370498657,172.51000599010277,13.134306452573076,11.826969067858537,12.440922469115948,0.2169830835947008,22.221993559417,19.42197058775764,-4.690005697463784,-0.2509014022706194,11.750005539575511,20.858403994316983,0.233157907204287,0.5253722578927741,0.105334469695892,4.453325643019324,19.86754966887417,7.191233944529157
ensemble_meta,,,,,,,,,,,,,,,,,,
ensemble,127.4880268573761,40.1028485841856,6.332680994980373,5.476319351577073,5.48260534002797,0.11307837804156123,10.038088029469446,9.82549028944396,-0.32273740076059654,-0.22239585537347428,-0.027390890513022948,-0.0486238289982438,0.11241664362816273,0.253307239697892,0.0560682233248451,2.1471625293532277,17.218543046357617,3.329804397575347
