model,run_seconds,MSE,RMSE,MAE,MdAE,RMSLE,MAPE_%,sMAPE_%,R2,Corr,MBE,PBIAS_%,NRMSE_mean,NRMSE_range,Theils_U1,Theils_U2,Directional_Accuracy_%,MASE
neuralprophet,176.18272185325625,183.6737363599004,13.55262839304245,11.278702121031912,10.766931533813477,0.3728515271283618,25.88341387440284,31.36875070510644,-1.8224685513518264,0.2311398440952448,-10.989004875484266,-27.766503747670967,0.3424414778550759,0.4818712315812885,0.1960285898908807,3.0146505036340394,22.516556291390728,9.35530763349336
tbats,93.5693793296814,81.83245212756641,9.046129123971555,7.070506701577122,6.299857180601983,0.2406114815582538,21.639102741139123,18.284616144048112,-0.2574989064167874,0.1970043961372649,4.204848335774009,10.6246141845043,0.2285733612876875,0.3216401465157388,0.107470945994914,2.0122235280589225,21.85430463576159,5.8647497387650205
lgbm,2.739549398422241,130.76827664498614,11.435395779988822,9.429657469451552,8.879761673104689,0.2936871903540675,22.000439039900115,25.155008153968986,-1.0094835312857957,-0.0820279893940712,-7.697131429331722,-19.448751829718056,0.2889442340769422,0.4065918498105921,0.1581004455900488,2.54369268068294,20.52980132450331,7.821586700182891
rf,15.177200317382812,92.50380306553616,9.617889740766222,8.047158558512152,9.509856034610571,0.2404267878158594,19.39242425657867,21.000622089750767,-0.4214828979213783,0.1298855901028917,-5.340875997582114,-13.495075767374662,0.2430203412325526,0.3419694128834321,0.1288519699933051,2.1394061218252376,47.682119205298015,6.674849914689678
lstm,49.35101366043091,81.9662327031339,9.053520459088492,7.714757329581069,8.725432475978828,0.2264202224168396,19.02837397802587,20.0573867046662,-0.2595546791952161,0.202881503804905,-4.31493809546279,-10.902783842231752,0.2287601220876858,0.3219029495420253,0.1196637358075657,2.0138676587387128,21.85430463576159,6.399134170002822
nbeats,89.31289863586426,186.49298583512703,13.656243474511102,12.246946390389509,12.098054406016246,0.3161218476021339,34.245256185751025,28.17390370061263,-1.8657912557293888,0.3822162871411204,10.320078567153784,26.076292026261072,0.3450595752895496,0.4855553233655306,0.1501873677009214,3.037698671743918,17.880794701986755,10.158433995640651
nhits,12.3085298538208,72.45266975611462,8.511913401586897,7.673854406333462,7.375848434786974,0.2182237233039136,20.1801200686457,19.96397597503825,-0.1133621273289375,-0.0415908552498484,-1.916694846509867,-4.843014926445972,0.2150750481810774,0.3026458097265934,0.1090086007164545,1.893392431253899,15.89403973509934,6.365206557943899
patchtst,34.77628684043884,178.4085009735592,13.356964511952526,11.268991736906884,14.751604128154629,0.3524985256994251,25.87457772623973,30.88410110393202,-1.741558990802062,-0.320479896538939,-10.554515544159264,-26.6686564190677,0.3374975343881621,0.4749142935894536,0.1924236935693727,2.971126974428919,19.86754966887417,9.34725319338543
transformer,16.410386323928833,100.4954555347012,10.024742167991215,8.430104298012802,10.051315339776458,0.2509857727045475,20.13384193019837,22.079852116395145,-0.5442886306002941,0.1110431758197025,-6.005615951490247,-15.174709604155844,0.253300498144357,0.3564352769573995,0.1355338052853121,2.2299064911313287,19.205298013245034,6.992490646887365
ensemble_meta,,,,,,,,,,,,,,,,,,
ensemble,182.55579495429993,67.5875155261485,8.221162662674208,7.143840299960022,7.274758621926363,0.2068410743565206,18.16579098055379,18.519757327134204,-0.038600514244261364,0.4996821556635337,-2.9550125754331984,-7.466587619160096,0.20772849444749836,0.2923080056800401,0.10673795219773849,1.8287177544255222,18.543046357615893,5.925577515346136
