model,run_seconds,MSE,RMSE,MAE,MdAE,RMSLE,MAPE_%,sMAPE_%,R2,Corr,MBE,PBIAS_%,NRMSE_mean,NRMSE_range,Theils_U1,Theils_U2,Directional_Accuracy_%,MASE
neuralprophet,158.76539301872253,242.0224385292525,15.557070371032346,12.784523361607604,12.543126106262209,0.4086479942556354,28.01970619234293,34.26942126356971,-1.5185145457884386,0.1267224337397288,-12.01604690049824,-29.318310571321604,0.379581591503579,0.4525693197529208,0.2183010259313653,4.83622252528231,19.205298013245034,12.496063027067905
tbats,68.38611721992493,143.93092668969925,11.997121600188072,9.9292729612338,9.680250812584369,0.2891298034608648,22.599811867628457,25.022941569236423,-0.4977624994593368,-0.2070561352762923,-6.908577677970135,-16.85644435695651,0.2927213416056023,0.3490071737221237,0.1574073130831245,3.729542152706117,29.13907284768212,9.705236341399011
lgbm,1.8173930644989007,216.1805159293704,14.70307845076569,11.929504204600727,11.646601406451149,0.3686550939479791,25.973520093897225,31.0769986161517,-1.2496003973547358,-0.0445334579757795,-10.890645751526014,-26.57241080277777,0.3587447883976672,0.4277259184432997,0.2035109463815586,4.570742273364633,19.205298013245034,11.660335876895536
rf,20.113996505737305,211.50289970129376,14.543139265691355,11.740235688601487,11.098563445772712,0.3633115579691065,25.538960828942848,30.45902644586878,-1.200924561421436,-0.1182436941287504,-10.621764792265845,-25.916360145221027,0.3548423846052833,0.4230731421515818,0.2005535364123522,4.521022019416817,21.19205298013245,11.47533787281909
lstm,75.02509021759033,124.21479518283358,11.145169141059888,9.248765791748832,8.877511295945194,0.2659592150243789,21.17830841132018,23.119743288286816,-0.2925940684309169,0.8498668620267871,-6.275723417374838,-15.312324405348493,0.2719342999191793,0.324223102191059,0.1450116126865597,3.4646959075559134,18.543046357615893,9.040083621995128
nbeats,13.766841411590576,145.25976914970374,12.05237607900217,10.47430330828049,10.827684900453704,0.2965708335983744,25.904368535397804,26.34228098914631,-0.5115905936018479,-0.5828144224597396,-4.178788422304872,-10.195950281443828,0.2940695120840884,0.3506145767417025,0.1525247897712802,3.746719098537836,15.89403973509934,10.237969035119374
nhits,5.443802833557129,79.77312413092805,8.9315801586801,7.900592844763963,7.932811391102845,0.2215310774754001,20.35891482624971,19.77581530184312,0.1698712949607537,0.5968409460025705,-1.613041134539279,-3.935707087226717,0.2179242833269133,0.2598277863587439,0.1095089503428152,2.7765580613560523,15.2317880794702,7.722329831697203
patchtst,30.02873706817627,264.2489458053436,16.25573578172774,13.531888800935576,12.739286916706869,0.420213014442762,29.52574096007026,36.30799773556655,-1.7498062483970052,0.0325953991351146,-12.96893479088412,-31.64329010421826,0.3966285368599534,0.4728941316945105,0.2317058309885636,5.053416464517315,21.19205298013245,13.226565476783032
transformer,9.510431289672852,93.46156873083736,9.667552365042424,8.378995106837877,6.801539976890986,0.2525226120454457,24.25487137673253,21.02515699344698,0.0274276974018273,0.4516229713372337,2.8008768346953885,6.833942775990217,0.235881488297432,0.2812378869012376,0.1124799594646497,3.005349554709373,17.218543046357617,8.189937786258895
ensemble_meta,,,,,,,,,,,,,,,,,,
ensemble,113.56471061706543,169.76148945646028,13.029255138205725,10.604734281663216,10.648104429185409,0.3180201217855516,23.68439946411444,26.961073384122393,-0.7665584361060374,-0.5557693067405488,-8.179171871079669,-19.95660495654259,0.3179046750778518,0.3790328766375388,0.17383526511052863,4.050401244206713,17.880794701986755,10.365457062476493
