model,run_seconds,MSE,RMSE,MAE,MdAE,RMSLE,MAPE_%,sMAPE_%,R2,Corr,MBE,PBIAS_%,NRMSE_mean,NRMSE_range,Theils_U1,Theils_U2,Directional_Accuracy_%,MASE
neuralprophet,165.32810592651367,130.84677354383834,11.43882745493778,9.7700926755604,9.74169921875,0.2264432853815747,18.52543516222818,19.098614677334147,-0.4411201963149864,-0.1211821623489211,-3.0246337213014303,-5.698941863409615,0.2155276263038314,0.3327658895013853,0.1098038349044804,3.627541565690201,25.165562913907287,8.26937116306149
tbats,31.267144203186035,45.19422296611428,6.722664870876301,5.2733759892510985,3.9518373347081024,0.1382319722682806,11.50808275367326,10.447114712440545,0.5022398664541095,0.8525831037162586,3.874879726668363,7.300954867515613,0.1266668290752711,0.1955684325504179,0.0604743011600066,2.1319271006909144,19.86754966887417,4.46336639636764
lgbm,0.965472936630249,274.99129631704864,16.582861523785592,13.724423020027118,13.843629430472747,0.328018379396983,23.489661083078424,27.911077429477853,-2.028699143281241,-0.250159207767737,-13.264417914900676,-24.99249612163351,0.3124502747878967,0.4824105169152432,0.1768758866022605,5.2588449028182485,52.31788079470199,11.616302088450738
rf,11.409440994262695,112.9734074792388,10.6288949321761,9.154340084794075,10.645031548666278,0.1972162674760842,16.668564355400832,17.551877100372646,-0.2442665168989206,0.2034820260904873,-4.8060605352839385,-9.0554632746822,0.2002670731759192,0.3092042161188089,0.1040107014850645,3.370691473030219,49.66887417218543,7.7482003935763
lstm,72.05202102661133,570.4966079129583,23.885070816578256,19.486613021186685,20.51537841859959,0.5366155643250604,33.24351783831461,43.41710971126179,-5.283335548332076,-0.8495340427270274,-18.777364673017143,-35.37985735790903,0.4500367399959203,0.694838423552869,0.2692706766487942,7.574560201027432,23.178807947019862,16.493398899503973
nbeats,23.129695415496823,81.68957359714905,9.038228454578311,7.55431350525079,6.845972669707965,0.1728248627516561,14.594298191797058,14.524392717928514,0.1002873731558303,0.4001590419536685,-2.325124734822773,-4.38094391251751,0.1702961192902796,0.2629302822385166,0.086221020889849,2.86625089226552,21.85430463576159,6.39394367397479
nhits,5.565308332443237,98.37564571777196,9.91844976383769,7.664813232644865,5.386491805198077,0.194268631030364,16.680891548477703,14.627715424671145,-0.0834896882032074,0.2806390445802846,3.7175884011736975,7.004590347970733,0.1868810367701593,0.288536720318613,0.0894931282039672,3.1453913372913176,26.490066225165563,6.487470244252314
patchtst,43.9231493473053,64.24429371484048,8.015253814748506,6.250943683444053,5.080997680584684,0.1633775048825514,13.913739323910526,12.387273258580752,0.2924261969713015,0.8960907970968306,4.703019090881206,8.861315071864356,0.1510214780073253,0.2331710199975795,0.0716852124564086,2.5418397547386826,25.82781456953642,5.290776162962924
transformer,6.993679523468018,144.0265812849156,12.001107502431417,8.75423378091815,6.00970047320542,0.2302608679485367,19.82131665267018,16.50626061678659,-0.5862799630008002,0.3110847933802798,7.837317266056675,14.766884052702853,0.2261219712602278,0.3491231272418962,0.1044050950723605,3.805854793324468,20.52980132450331,7.409551862666543
ensemble_meta,,,,,,,,,,,,,,,,,,
ensemble,113.65991640090942,76.00471718253642,8.718068431856706,7.699242600048979,7.886045980027319,0.16422625364677032,14.712317848970793,14.693473682795672,0.16289924481580875,0.6694559623910744,-2.1412143214271047,-4.0344243499548815,0.16426374140833325,0.25361653612568846,0.08312022307192675,2.7647200496446174,21.192052980132452,6.516611136506716
