model,run_seconds,MSE,RMSE,MAE,MdAE,RMSLE,MAPE_%,sMAPE_%,R2,Corr,MBE,PBIAS_%,NRMSE_mean,NRMSE_range,Theils_U1,Theils_U2,Directional_Accuracy_%,MASE
neuralprophet,108.41002798080444,193.4939762725235,13.910211223145517,10.000116679979408,5.498311996459961,0.3773468736432119,20.677649181795488,25.55596679000812,-10.724263195852451,-0.6276279567271023,-7.830142891925314,-17.050251977602816,0.3028969070415911,1.4837558622195155,0.1633907264321972,11.28602313986831,2.2222222222222223,20.10642888503996
tbats,40.620341062545776,44.58220108695652,6.676990421361747,5.298913043478261,6.25,0.145774722684336,10.815217391304346,11.822660097202917,-1.701342281879195,,-5.298913043478261,-11.53846153840692,0.1453924541139691,0.7122123108522265,0.076987493066878,5.41736334490594,91.11111111111111,10.654097515682755
lgbm,0.7344436645507812,96.48613987232126,9.822735864937084,8.889680484342522,10.352258312946349,0.2256380890901452,18.67697448176716,20.997980978416745,-4.846326177212187,-0.2363482179040484,-8.889680484342522,-19.357410758713385,0.2138915264798654,1.0477584911423463,0.1181472826959797,7.969657864291266,68.88888888888889,17.873764295871048
rf,2.9364230632781982,92.0475165826796,9.594139699977251,8.551805297576005,11.273073035233931,0.220543780271237,17.934333585056695,20.15669190910849,-4.57737936720036,-0.0519612908413792,-8.551805297576005,-18.62168254137913,0.2089138111729483,1.023374900239307,0.1148999602830181,7.784186805222876,8.88888888888889,17.19442588091622
lstm,9.205049991607666,18.351164302939747,4.283825895498059,3.68596583851656,3.8098730647805454,0.0904864420153442,7.665347591513817,8.041309637379337,-0.1119409729580818,0.9354341418402962,-2.97545087490878,-6.479088295628686,0.0932809425562137,0.456941428365722,0.0480976821708874,3.475673906612713,6.666666666666667,7.411074528079656
nbeats,23.40250325202942,22.99364169911654,4.795168578800597,4.093169368041849,4.368528630652769,0.1020104408910437,8.492847637034165,8.978031631643882,-0.3932397912577894,0.8695735129186692,-3.4210541490030204,-7.44939601672871,0.1044155051251106,0.5114846478598134,0.0541127770285274,3.890550809887356,6.666666666666667,8.229805855937958
nhits,4.085894584655762,25.00286984152651,5.000286975917134,4.142152674456103,4.108526055566671,0.1064851752662474,8.54515577464132,9.082170641963264,-0.514983733968182,0.840615006213142,-3.620043351368895,-7.882697948505606,0.1088819885643088,0.533363943528906,0.056555427617175,4.0569732271413805,4.444444444444445,8.328292643491555
patchtst,10.011444807052612,66.43677105635489,8.150875477907565,6.520343151427148,6.964906325321248,0.1821205323446833,13.339215986053068,14.870392031417126,-3.0255629903963337,-0.8265418991523548,-6.5193649838874,-14.196013692658028,0.1774865192435996,0.8694267167160851,0.0953099555075634,6.613197152663225,6.666666666666667,13.109928621402569
transformer,1.9929959774017327,9.17377579024862,3.0288241596779137,2.6042818906248137,2.403223848370441,0.0634307191063193,5.498142262456351,5.62950029327409,0.4441389652713068,0.8925378300062444,-1.5908797437047697,-3.464164175624757,0.0659530941135363,0.3230745766876979,0.0334775321582691,2.4574306604229434,6.666666666666667,5.236219766843066
ensemble_meta,,,,,,,,,,,,,,,,,,
ensemble,43.49467754364014,67.47556895175823,8.214351401769846,7.179929577457692,9.413287911950768,0.18453844460413465,14.97759182194428,16.564123836828244,-3.08850624148676,0.19395376387492347,-7.179929577457692,-15.634402866816114,0.1788687168753294,0.8761974819208396,0.09679896712505397,6.664698221485401,6.666666666666667,14.436105904420842
