model,run_seconds,MSE,RMSE,MAE,MdAE,RMSLE,MAPE_%,sMAPE_%,R2,Corr,MBE,PBIAS_%,NRMSE_mean,NRMSE_range,Theils_U1,Theils_U2,Directional_Accuracy_%,MASE
neuralprophet,161.5852026939392,121.80055511269842,11.036328878422315,8.323333862500313,5.772672653198242,0.2187319708058219,13.973066800845402,15.77583351784584,-2.36043313919221,0.0756129570367902,-5.711677673535469,-9.87965867852593,0.1908986616477981,0.5045178913543834,0.0996072493635045,6.762547439084267,3.896103896103896,13.066063518661531
tbats,90.45509147644044,159.96286082043176,12.647642500499124,11.109898093815294,9.569706127232967,0.2289400999385504,18.31631652392596,20.66270685009496,-3.4133173124177985,-0.6071880627218567,-11.109898093815294,-19.217121027097352,0.2187700324032246,0.57817794261565,0.1206516671155587,7.749885251193289,6.493506493506493,17.440443526320443
lgbm,1.1201820373535156,52.330057628664186,7.2339517297715075,5.645738479396509,2.8664533307885023,0.1210943925719678,9.14020174396862,9.800855520508431,-0.4437673101611972,0.6595237756557336,-5.049329072790831,-8.733974612375583,0.125127813682512,0.3306949360669512,0.0652246704835789,4.432628121500742,63.63636363636363,8.8627440398488
rf,5.489743947982788,149.77967162229268,12.238450540092591,10.68853607243173,9.09280990542895,0.2202762939849702,17.59714149237702,19.77756337859012,-3.132366815825825,0.3727448200819686,-10.658261955678862,-18.435912571944176,0.2116921174136332,0.5594720244341884,0.1162473768562017,7.499151508621399,83.11688311688312,16.77898466540009
lstm,27.935885429382324,253.2481801843421,15.913773285564368,14.427105093301616,16.208134963882888,0.3075453820953021,24.122374392863485,28.211797967837487,-5.987025439614431,0.0570252612678835,-14.380076501320664,-24.87364584006707,0.275265267594581,0.7274867784360914,0.156472932539864,9.751217815633389,6.493506493506493,22.64783254565468
nbeats,43.09769058227539,46.913366046229854,6.849333255597208,5.197192132478088,3.207221828807452,0.1142881415056636,8.429648067364438,8.926045079234726,-0.2943227540049984,0.330581418915153,-2.8990002297588364,-5.014486883896057,0.1184749535898371,0.3131123772555924,0.0604949914974621,4.196951864821109,5.194805194805195,8.158610917626653
nhits,4.728865385055542,40.52153616445277,6.365652846680596,5.080172100360697,5.103387516835813,0.1044874969092737,8.355846344712276,8.559763435982862,-0.1179744858470368,0.3183954346182016,-0.8555181593953157,-1.4798151946264535,0.1101085897613753,0.2910012728580838,0.0552248751099335,3.9005750762452096,6.493506493506493,7.974911549337426
patchtst,14.485387802124023,47.17884851324598,6.868686083469384,5.487684429112528,4.141783144224618,0.1158503898605439,9.17885851476436,9.5674384887962,-0.3016473189809958,-0.0234187663089619,-3.249714852051365,-5.621128392725031,0.1188097052070276,0.313997077957916,0.0609520055916761,4.208810374839047,6.493506493506493,8.614629006316811
transformer,4.309971809387207,50.11540329764348,7.07922335412886,5.32649836003252,3.5618155861152587,0.1176483591011875,8.58588798958787,9.096139080014028,-0.3826658004108392,0.1579144699347476,-2.61898701445039,-4.530139700660898,0.1224514309691562,0.3236216388979494,0.0624012388052436,4.337817791726895,6.493506493506493,8.361597294299184
ensemble_meta,,,,,,,,,,,,,,,,,,
ensemble,87.923171043396,105.52206494242287,10.272393340523077,8.784655853766875,7.810835300256066,0.18020219450570568,14.395371354067487,15.885380535056855,-1.9113154995099135,0.7932098371263621,-8.665641147542129,-14.989217120039633,0.17768464153506994,0.46959512392352576,0.09575637728908717,6.294443382712173,11.688311688311687,13.790251991696497
