model,run_seconds,MSE,RMSE,MAE,MdAE,RMSLE,MAPE_%,sMAPE_%,R2,Corr,MBE,PBIAS_%,NRMSE_mean,NRMSE_range,Theils_U1,Theils_U2,Directional_Accuracy_%,MASE
neuralprophet,112.35922479629517,31.722681921035846,5.632289225620063,4.993903746971717,4.65936279296875,0.1771641858047015,16.22469078805607,15.977180247350349,-1.0447770717877352,0.1423714933110215,-0.2284257595355694,-0.7078220928597346,0.1745275468999562,0.4505831376891385,0.0868034415146736,3.451204064185497,9.090909090909092,10.796855466117233
tbats,30.44396662712097,19.36829941897904,4.400943014738892,3.229093189058628,3.1984335142261777,0.138347614982379,11.18757411074283,10.187992905127269,-0.2484396707072258,0.3850164629596919,1.9840705688388456,6.148032451647531,0.1363718654423889,0.3520754408974509,0.065915112880023,2.6966925543571523,11.688311688311687,6.981322471429488
lgbm,1.827958345413208,16.969802034349133,4.119441956667084,3.68078836799158,3.1856106051019264,0.1261822036110008,11.522324842765755,11.59898891621354,-0.0938375954147865,-0.0434592744727971,-1.0768320889199925,-3.3367757839026977,0.127649002118621,0.3295553562697224,0.0646608196883078,2.52420183934367,45.45454545454545,7.957890665127329
rf,5.784782409667969,15.595498660628364,3.949113655065952,3.4668815293998763,2.882948781604373,0.1233643643195865,11.333537533880635,10.91644504497916,-0.0052529027567138,0.0218450180517547,0.2838734120096318,0.879637537396929,0.1223710450650557,0.3159290921525329,0.0606929386503959,2.4198326027537425,61.03896103896104,7.495422556708303
lstm,28.81548833847046,8.079596770066006,2.8424631519275683,2.386356373144637,1.954391981572046,0.0851808869161633,7.302640760001474,7.495184582755028,0.4792062579751218,0.7826756624799315,-1.1278238771070457,-3.49478385753942,0.0880793050901645,0.2273970519722878,0.0446003746225673,1.7417288049780433,11.688311688311687,5.159319473691148
nbeats,25.3790225982666,39.55954516541031,6.289637920056314,5.152516041981589,4.219183367483055,0.1889532310245812,17.664922810380993,15.477626012874667,-1.5499247234497702,0.3115117136812124,5.039918957166833,15.617179040395332,0.194896787629993,0.5031710332019682,0.0900679970217207,3.8539966756703343,5.194805194805195,11.1397763775203
nhits,4.071138620376587,71.05576167402481,8.429457970357573,7.310871395844283,5.635290511679287,0.2424565677384771,24.699410348644925,21.00293739032928,-3.580104313094451,-0.2652061893387291,7.310871395844283,22.654171327069943,0.2612033157975527,0.6743566370891205,0.1169125641754052,5.165178569638556,10.38961038961039,15.806156023765372
patchtst,11.000473499298096,15.988633415192108,3.998578924467055,3.603341931414594,2.8607025108277355,0.1235961296700935,11.51783787071714,11.342438278964051,-0.0305935386542663,-0.161273781632232,-0.3962381002269337,-1.227821599208563,0.1239038236173448,0.3198863137014553,0.0621020523450152,2.450142612050952,11.688311688311687,7.790450917696356
transformer,2.2340786457061768,82.71790752737937,9.09493856644339,7.912122102372663,10.045389092085978,0.3038265364112339,23.26014975894429,27.29949775782931,-4.331821601946085,-0.0640354434922054,-7.912122102372663,-24.517264764051784,0.2818245394762056,0.7275950847333952,0.1597138162242194,5.572954031062079,6.493506493506493,17.106064333216526
ensemble_meta,,,,,,,,,,,,,,,,,,
ensemble,58.267311334609985,29.645516243002266,5.444769622582967,4.21697994570615,1.7870818766699124,0.16745114893400534,14.635134472176183,12.967120563470406,-0.9108873595837048,-0.3186489821815211,3.545754924630945,10.987218239408666,0.16871688359721804,0.4355815694581721,0.07968086696638554,3.3363008001321797,6.493506493506493,9.117140674750384
