model,run_seconds,MSE,RMSE,MAE,MdAE,RMSLE,MAPE_%,sMAPE_%,R2,Corr,MBE,PBIAS_%,NRMSE_mean,NRMSE_range,Theils_U1,Theils_U2,Directional_Accuracy_%,MASE
neuralprophet,105.6628406047821,39.69472520852421,6.300375005388505,4.642104027119089,2.979076385498047,0.2791129425218002,16.76135634474157,19.39457521605901,-21.674268570021475,-0.1736389342534466,-1.974676152493092,-7.2085265372003455,0.2299942719574076,2.0161199952727373,0.1178607173816948,13.673990840500574,2.1739130434782608,5.138782775403074
tbats,31.179898738861084,7.480053191489362,2.734968590585523,2.393617021276596,3.125,0.0993343864124162,8.51063829787234,9.011264078403885,-3.2727272727272707,,-2.393617021276596,-8.737864077602037,0.0998396300664815,0.8751899461867595,0.052168617860215,5.9358269031189375,97.82608695652172,2.649720438833292
lgbm,0.7020058631896973,13.175517317942369,3.6298095429295416,3.3593374560311706,4.0229840041472364,0.1344984235665684,12.036636388314578,12.937972100308674,-6.526068429662301,-0.2708942403197245,-3.3593374560311706,-12.263212460756405,0.1325056687032316,1.1615390500205285,0.0705360302554367,7.877940979755936,91.30434782608695,3.718767471596883
rf,2.935297966003418,27.37050714404365,5.231683012572881,4.491129179550371,4.104457273569079,0.2039734863157078,16.01013307151958,17.966873184567806,-14.634476032308337,-0.6215899647915683,-4.370636737227229,-15.954945759074509,0.190981826408671,1.6741385586660784,0.1035494591010224,11.354559932248463,8.695652173913043,4.971654477184666
lstm,9.302515268325806,17.582508825348334,4.19315022689962,3.8301315361047257,4.753123608121118,0.1573111601183915,13.69713154573054,14.91352139807186,-9.043413202797758,-0.909145044114022,-3.8301315361047257,-13.981839393827103,0.1530703383241468,1.3418080683140927,0.0822304915370421,9.100584924933797,0.0,4.239933842559309
nbeats,15.199319124221802,7.506706415322833,2.7398369322503178,2.348376933673868,2.282596032693497,0.0906905911714074,8.499935648556097,8.202770429427312,-3.2879520249401226,0.8103832524798883,1.2815792103809196,4.678386243684303,0.1000173481699081,0.8767478155145086,0.0486669611201083,5.946392886774815,2.1739130434782608,2.599639918971504
nhits,3.451117038726806,7.859719480682383,2.8035191243653723,2.564352974712171,2.241173453911969,0.0924325859410249,9.329797769470805,8.84691339841683,-3.48959879313516,0.8067582509802322,2.5333762858507405,9.248053237596894,0.1023420573181139,0.8971261169261155,0.0488265776814311,6.084605248886514,2.1739130434782608,2.8387241689373885
patchtst,3.225085973739624,9.120516690771291,3.020019319602325,2.7161081640841966,3.4027395934120435,0.1103813461718693,9.691683176179335,10.306186116110537,-4.209786536058512,0.0664518114354738,-2.7161081640841966,-9.915113297939088,0.1102453654131992,0.9664061791802444,0.0579623088192247,6.554485483651068,2.1739130434782608,3.006716301097117
transformer,1.5715205669403076,73.76576112531025,8.588699617829828,8.444870522905656,8.443997102433716,0.3598706680617443,30.71516201287833,36.494412115727485,-41.13619492869437,0.2551604167764292,-8.444870522905656,-30.82787686007636,0.3135292286529267,2.7483838689107167,0.1850423047430906,18.64044597433831,4.3478260869565215,9.348423673854787
ensemble_meta,,,,,,,,,,,,,,,,,,
ensemble,31.858492374420166,14.963940448182536,3.868325276936072,3.56860282933986,4.263322692596503,0.14411403285141697,12.782118052843064,13.811143804161482,-7.547644625463649,-0.5415883656134581,-3.56860282933986,-13.02713265845986,0.14121265083466053,1.237864084658378,0.07547627219365535,8.39560254106477,2.1739130434782608,3.950423050525037
