model,run_seconds,MSE,RMSE,MAE,MdAE,RMSLE,MAPE_%,sMAPE_%,R2,Corr,MBE,PBIAS_%,NRMSE_mean,NRMSE_range,Theils_U1,Theils_U2,Directional_Accuracy_%,MASE
neuralprophet,112.38782382011414,165.16672656002282,12.85172076260696,8.77769596345963,7.144956588745117,0.2594678795179495,14.13403815571678,16.771779408979047,-3.694818879421209,-0.145488152227594,-8.595656518013246,-14.907152562666589,0.2228829894107536,1.0281376601860466,0.1195693915908608,13.112954280222016,4.918032786885246,8.044092193835024
tbats,33.578505992889404,107.1258111669135,10.3501599585182,8.367038158685054,13.302416071053337,0.183197748319925,13.519296829466851,15.060672487034246,-2.045021786255272,-0.7955431123334956,-8.367038158685054,-14.510667575860763,0.1794992775711437,0.8280127960190459,0.0964957993460388,10.560544913481518,0.0,7.667755481390656
lgbm,0.8530995845794678,147.82058194077533,12.158148787573516,10.579235536002296,15.461511810150796,0.2203180016048911,17.418642497241,19.606242430918773,-3.2017594785374666,-0.2463823860221529,-10.579235536002296,-18.34720568476385,0.2108546083073644,0.9726519022277595,0.115738808512674,12.405284251697989,90.1639344262295,9.695066489675591
rf,4.555649518966675,127.77992033491856,11.30397807565631,9.79029832081174,14.319067980765006,0.2029334562102403,16.112611272305312,17.989697004845507,-2.632109171705986,0.3679189510015252,-9.79029832081174,-16.978978905975666,0.1960410183410198,0.90431824532905,0.106796435979971,11.533751038381975,37.704918032786885,8.972065405956238
lstm,13.987804412841797,13.076753866940368,3.616179457236652,3.3796372493235745,3.2541719188996865,0.0629596454302437,5.950502598976231,5.931556463097079,0.6282968596962218,0.8945706703663058,-0.6336658793622741,-1.0989450215482828,0.0627141612055355,0.2892943563474967,0.0314263565152483,3.689684577476255,4.918032786885246,3.097181051662074
nbeats,11.846551895141602,50.74344174959012,7.123443110574416,6.103433495246765,7.1314868265723845,0.1221377589997253,10.063380501613295,10.72769830022917,-0.4423684073330047,0.5978179137417593,-5.097205973912224,-8.839909661025843,0.1235394329451802,0.5698754483900529,0.0644243307857193,7.268239448409615,4.918032786885246,5.593333596776215
nhits,2.639728784561157,27.439838837405105,5.238304958419766,4.362056778388426,3.569045471522156,0.0888096347743105,7.243999517521524,7.571755220922016,0.2200301107541246,0.7531551462323895,-3.1317240806840334,-5.431241762289984,0.0908461279344617,0.4190643963383297,0.0465325131832437,5.344782593275473,0.0,3.997493992292442
patchtst,14.80878734588623,115.69535802262452,10.756177667862524,8.994804497991483,6.41063812315555,0.1841638055331271,16.729923019360328,15.441831015088084,-2.2886088040778723,-0.5450017235818512,4.406888975151127,7.642716544296661,0.1865407035781318,0.8604942127406066,0.0894459858818693,10.97481563706302,6.557377049180328,8.243055688938163
transformer,4.159683227539063,127.51472410201389,11.2922417660097,9.51962929229249,14.288578391094967,0.2023248234986534,15.546250135958548,17.4074128301481,-2.6245710415576005,-0.3081889904581691,-9.51962929229249,-16.509566884489047,0.1958374795443866,0.9033793405580726,0.1064211081803009,11.52177616788352,4.918032786885246,8.72401778292528
ensemble_meta,,,,,,,,,,,,,,,,,,
ensemble,38.494629859924316,96.39521526953136,9.818106501231862,8.257153508810628,12.064036926017586,0.17283337583012007,13.477828725864264,14.861156290639716,-1.7400075424320063,0.8247880472438804,-8.257153508810628,-14.320098392862294,0.17027205677505083,0.78544851947019,0.09143692011585641,10.017676546754368,4.918032786885246,7.5670545391437605
