model,run_seconds,MSE,RMSE,MAE,MdAE,RMSLE,MAPE_%,sMAPE_%,R2,Corr,MBE,PBIAS_%,NRMSE_mean,NRMSE_range,Theils_U1,Theils_U2,Directional_Accuracy_%,MASE
neuralprophet,134.7422375679016,91.27364185963287,9.553723978618644,7.787334563884329,7.189273834228516,0.2735903914345987,18.519313363436467,20.39508319082381,-6.518661262372882,0.3754976296536924,-1.6334105552511011,-3.796985278339268,0.2220834754328022,0.7642979176780532,0.1113861239845716,3.408793713671576,8.695652173913043,6.145680201915779
tbats,35.63041353225708,12.674534574468083,3.5601312580392435,2.726063829787234,3.125,0.0771984213107244,6.215060492282022,6.203758487621788,-0.0440640932265115,,0.7313829787234043,1.700154559497001,0.0827579197966977,0.284810500415291,0.040963668295844,1.2702641482431165,82.6086956521739,2.151380086529304
lgbm,1.2573192119598389,30.33245577247352,5.507490878110786,4.377266064764068,1.9769440663320097,0.1198062528189678,10.24477066903581,9.778155074518056,-1.4986343873498713,-0.2109886030708362,2.5751575855433364,5.986146844881024,0.1280257539219955,0.4405992698963834,0.0619963457443464,1.9650871561104148,19.565217391304348,3.454491029254038
rf,2.9828333854675293,48.52562159095849,6.966033418736841,6.274003795224539,6.768750075806274,0.169858363149011,14.42765020518227,15.765039851508048,-2.9972954278475448,0.4762206685314358,-5.909642090097552,-13.737406033172734,0.1619306686142932,0.5572826730531211,0.0865843908068655,2.485498951001682,17.391304347826086,4.951375929047427
lstm,13.667945861816406,48.82354524020369,6.987384721067224,6.075144553930178,6.280024076245681,0.1767156557206693,14.115468279900286,15.509733098267596,-3.0218368721800664,0.4686158434923176,-5.265497257916714,-12.240043084803045,0.1624269956420742,0.5589907772381852,0.0860008825775423,2.493117151540592,10.869565217391305,4.794438366886086
nbeats,15.509618043899536,101.8101272987679,10.09010046029116,9.126195458164942,9.259064631796235,0.2069809087594402,21.687683965511468,19.15527060494216,-7.386603674867072,0.2913774429169884,9.064120406665385,21.07022734398348,0.2345519488214875,0.8072080361775265,0.1057763543624252,3.600174245805278,8.695652173913043,7.2022947371715205
nhits,3.182931423187256,108.80751940997976,10.431084287358614,9.47759380063282,9.41479633862182,0.2133404468284254,22.55639087170381,19.8549480780125,-7.963013467796241,0.2813935436583355,9.47759380063282,22.03137724278402,0.2424783734859425,0.8344867423210997,0.1088939928755166,3.7218381675150254,8.695652173913043,7.479614507957592
patchtst,12.612874031066896,23.353052680611803,4.832499630689257,4.304602500209991,3.789957982820354,0.1057970942224107,10.235862979694566,9.641511075800608,-0.9237064389070212,0.4520791818110328,3.648151630610161,8.480401935719545,0.1123350763967097,0.3865999701458605,0.0537673895322538,1.7242485128605889,8.695652173913043,3.3971457301125727
transformer,2.277536630630493,14.239456301145042,3.773520412180785,2.962250961530535,2.4153940276657835,0.0814198442587789,6.773224143618243,6.590960842157188,-0.1729744349778188,0.3668157414281818,1.2464959610535251,2.8975733004872173,0.087718310642977,0.3018816327329575,0.0431209165709723,1.346401956790999,10.869565217391305,2.3377764160557004
ensemble_meta,,,,,,,,,,,,,,,,,,
ensemble,34.64378762245178,24.346560777092623,4.934223421886429,4.29646506486785,3.6342658545339575,0.11338816799331294,9.734940675395604,10.322019260354812,-1.0055466140843392,0.5193417863876045,-3.855380542710477,-8.962121076055455,0.11469972217607581,0.394737873435124,0.05987509701845484,1.7605438277283625,10.869565217391305,3.3907237541635107
