model,run_seconds,MSE,RMSE,MAE,MdAE,RMSLE,MAPE_%,sMAPE_%,R2,Corr,MBE,PBIAS_%,NRMSE_mean,NRMSE_range,Theils_U1,Theils_U2,Directional_Accuracy_%,MASE
neuralprophet,96.2581377029419,607.6157220445563,24.64986251573336,22.1550315426242,22.08112144470215,0.4157989154098456,29.70941641844623,36.3119759718896,-7.650647539034351,-0.0820379069887052,-22.07959750390821,-30.762585286274906,0.3434362866882106,0.8764395558033407,0.2014407123423555,14.13359343187881,4.918032786885246,19.11142430478589
tbats,35.2127845287323,568.0811489723258,23.834452982443835,22.263370241514227,28.680289242893352,0.3796386195881088,29.887105480505564,35.85999610050183,-7.087792357961558,-0.948444688728704,-22.263370241514227,-31.01862820159057,0.3320755246529507,0.847447216852244,0.1957287846245873,13.666058701547708,0.0,19.204879682591702
lgbm,1.7016794681549072,649.7777625239152,25.490738759869537,24.051454823051028,30.426169727924204,0.413426324890327,32.429751820855344,39.39663783764375,-8.250910070896039,-0.3946373304016459,-24.051454823051028,-33.50989211293962,0.3551518658183634,0.9063373778064412,0.2124496572245085,14.615730115341464,90.1639344262295,20.74732132005225
rf,6.324801683425903,507.8779093755486,22.5361467286568,21.039550480588574,27.136322989089155,0.3541810363660978,28.24453397996932,33.51726431980955,-6.230676606072626,0.7206618754593396,-21.039550480588574,-29.31353100659686,0.3139867633667527,0.801285216734007,0.1832232060007418,12.921643485057984,40.98360655737705,18.149185463486955
lstm,14.07326865196228,118.02925982487184,10.864127200326395,10.314114731578432,12.002579064825632,0.1551670000508686,13.982773677389345,15.116978706308451,-0.6803869435807681,0.9661574773640886,-10.196524965634527,-14.206394334110566,0.1513653677137955,0.3862800780964833,0.0810484198964886,6.229209462877235,8.19672131147541,8.897185390334599
nbeats,9.31055212020874,211.82208501588383,14.55410887055212,13.704670854427626,15.24219103940089,0.2134504168035572,18.507599010275623,20.579860126791463,-2.015718869633547,0.901636529395092,-13.531376801794597,-18.85270475751415,0.202776348280564,0.517479426324527,0.1114263949369882,8.344949486366932,6.557377049180328,11.821954717261294
nhits,4.496812105178833,364.77750030273495,19.099149203635616,18.027873792680584,20.00808647855313,0.2924215546076451,24.358680060522783,28.08921921135041,-4.193350782087828,0.70482827848825,-17.890747208169532,-24.926434312449853,0.266100505721444,0.6790808603322598,0.1513156904729992,10.950958025290504,1.639344262295082,15.551245986817436
patchtst,17.769343376159668,102.92534562926092,10.14521294154346,9.05554698442607,8.756828603111302,0.1480506415815495,13.323413191633083,12.976758334535509,-0.4653519577736262,-0.4754540358234132,-0.9133845405236845,-1.2725807081424985,0.1413490342220355,0.3607186822377342,0.0708548934900159,5.817002626448305,3.278688524590164,7.811516783369561
transformer,4.055737018585205,473.6000556734283,21.762354093099127,20.283495093672773,25.97311886041784,0.3393573665775721,27.211171728050555,32.0908893420556,-5.7426615333654025,0.7618785366259472,-20.21232569916917,-28.16099310889152,0.303205832266103,0.7737725897017387,0.1757503001423408,12.477970807185088,6.557377049180328,17.496995225370263
ensemble_meta,,,,,,,,,,,,,,,,,,
ensemble,53.383442401885986,419.2783011315368,20.476286312013144,19.181355309341406,24.034025582074154,0.31571952988797997,25.781395960367,30.073943788194114,-4.969280702035658,0.9328146055091956,-19.17494590343567,-26.7156549665245,0.2852875845321206,0.7280457352793844,0.16397142730931966,11.740572814311657,8.19672131147541,16.54626486775295
