model,run_seconds,MSE,RMSE,MAE,MdAE,RMSLE,MAPE_%,sMAPE_%,R2,Corr,MBE,PBIAS_%,NRMSE_mean,NRMSE_range,Theils_U1,Theils_U2,Directional_Accuracy_%,MASE
neuralprophet,136.44007682800293,506.7849922005208,22.51188557630215,20.92437768751575,21.64628219604492,0.550761630844137,38.93884859563583,50.08239509629485,-9.53719549223988,-0.0964692516083426,-20.91677062742172,-40.47485899217318,0.4356147564102298,0.9004754226918957,0.2707059633573248,7.503801662102193,8.19672131147541,19.676726608900125
tbats,26.996204137802124,488.1224825488991,22.09349412268008,20.935180860648643,25.57511390520986,0.5197092614246404,39.02855170617159,49.5493705083726,-9.14916010129219,-0.8852172433997106,-20.935180860648643,-40.51048359250685,0.4275187001942387,0.8837397645537072,0.2665552053350316,7.364340821540549,3.278688524590164,19.686885624734145
lgbm,0.941066026687622,540.1885609412241,23.241956908600105,22.16789995476625,26.76441331791473,0.5570145136325155,41.497244076243646,53.35370687431366,-10.231730530522931,-0.7767994256738081,-22.16789995476625,-42.89584854200621,0.4497419535525185,0.9296782759721328,0.2846455587689941,7.74715357761288,81.9672131147541,20.846101777432207
rf,4.33606219291687,478.832914342325,21.882251126022776,21.04269148972218,24.99999993421042,0.5146742572571755,39.63380297813358,50.028753665511786,-8.956009164035478,0.5509515543857569,-20.948235842159647,-40.53574554834197,0.423431056526171,0.875290044690795,0.2639656857133294,7.2939279925462,62.29508196721312,19.78798575241408
lstm,13.563373804092407,407.46523660214496,20.18576816973149,19.15319274851981,22.764407367869,0.4618629052524899,35.72865008956216,44.32927493393541,-7.4721152371255375,0.7894461372212517,-19.15084004100777,-37.05770666267515,0.3906033750219224,0.8074307264662872,0.2383847063733607,6.728445746112462,9.836065573770492,18.01115153952934
nbeats,13.195817947387695,498.928631549616,22.33671040125685,21.51725216571388,23.90949900714291,0.5332632900617683,40.59347420709613,51.6524178855568,-9.37384415131586,0.5575206858936257,-21.51725216571388,-41.63681683082328,0.4322250407443504,0.8934684156928867,0.2711335716482201,7.445411183649883,9.836065573770492,20.23424995296876
nhits,5.22127366065979,452.1717367899615,21.264330151452256,20.39929615849324,21.96359806611064,0.5000534530705348,38.40423453715165,48.28172287975722,-8.401663545585485,0.5299897636312922,-20.39929615849324,-39.47352343540843,0.4114740174809093,0.850573205717861,0.2546073612224459,7.087958731538979,8.19672131147541,19.182953945824764
patchtst,16.592933893203735,407.9092318787261,20.19676290593932,17.67921490694375,23.1175935651694,0.4706179275845134,33.62957284223277,40.47943224145795,-7.481346893743174,-0.7661537791214498,-13.362098186119455,-25.85623993092584,0.3908161279394304,0.8078705159144243,0.2206382841077003,6.732110579942175,11.475409836065571,16.6250620964214
transformer,4.728698253631592,236.0439279197577,15.363721161221251,14.591056401377989,16.143088118507904,0.3310001226239209,27.2963065717016,32.04406738415009,-3.9078821423790986,0.812434049142856,-14.51276235528452,-28.082825039300324,0.2972946725637826,0.6145488462030305,0.1718542439321948,5.121131057409357,9.836065573770492,13.721040215989486
ensemble_meta,,,,,,,,,,,,,,,,,,
ensemble,45.937910318374634,367.5782456114574,19.172330208179115,18.35067617832748,21.43027774609796,0.43347663914593676,34.44283732242515,42.15680223792043,-6.642775323484634,0.8087688736590555,-18.298027552444534,-35.40747748360153,0.3709929106180324,0.7668932080204073,0.22408031532774067,6.390640303980177,8.19672131147541,17.25648636445901
